DATE,SALES,COST_OF_SALES,DAILY_GP_PERCENT
6/6/2015,349413.00980,376094.72180,-7.63615299100
6/6/2016,177626.95010,188629.75420,-6.19433261300
6/7/2014,70153.08097,68252.24221,2.70955848800
6/7/2015,173987.75150,184188.97900,-5.86318715700
6/7/2016,204005.58220,219722.89500,-7.70435427800
6/8/2014,80697.90350,77649.63653,3.77738062300
6/8/2015,74354.57010,76978.30524,-3.52868039800
6/8/2016,71508.89795,61500.57465,13.99591321800
6/9/2014,552703.90380,616169.85140,-11.48281153100
6/9/2015,164719.60450,176647.84270,-7.24154130700
6/9/2016,154494.78200,164108.82640,-6.22289262800
7/1/2014,224020.41000,229533.97370,-2.46118811200
7/1/2015,83176.48139,84728.83120,-1.86633262700
7/1/2016,74401.21529,68988.86126,7.27455056900
7/10/2014,78111.71646,74251.87473,4.94143760400
7/10/2015,63968.38248,61942.84268,3.16647024900
7/10/2016,87748.86289,77446.60944,11.74061191300
